------------------------------------------------------------------------
Top Pages for,wasay.net
Sorted by,page_authority
Filter,all
------------------------------------------------------------------------

URL,Title,Total Links,PA,Linking Domains to Page,HTTP Status Code,Outbound Domains from Page,Outbound Links from Page
wasay.net/,,19,21,12,,1,2
www.wasay.net/,,73,20,10,,1,2
www.wasay.net/2010/07/rosetta-stone-2125-error-message_2476.html,,23,18,5,,1,2
www.wasay.net/p/news.html?doc=201401151426PR_NEWS_USPR_____enUK201401157436&dir=0,,49,17,3,,1,2
www.wasay.net/p/news.html?doc=201310150830PR_NEWS_USPR_____PH96878&dir=0,,2,16,2,,1,2
www.wasay.net/p/news.html?doc=201402050830PR_NEWS_USPR_____PH59056&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201402250835PR_NEWS_USPR_____PH70933&dir=0,,1,15,1,,1,2
www.wasay.net/Home/tabid/36/Default.aspx,,1,15,1,,0,0
www.wasay.net/p/news.html?doc=201212050000PR_NEWS_USPR_____CG22216&amp;dir=0,,1,15,1,,0,0
www.wasay.net/p/news.html?doc=201311190830PR_NEWS_USPR_____PH19190&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201505140830PR_NEWS_USPR_____PH07683&dir=0,,2,15,1,,1,2
www.wasay.net/p/news.html?doc=201403110830PR_NEWS_USPR_____PH80222&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201402180830PR_NEWS_USPR_____PH66360&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201401140830PR_NEWS_USPR_____PH45480&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201403250830PR_NEWS_USPR_____PH89795&dir=0,,1,15,1,,1,2
www.wasay.net/2012/01/rosetta-stone-error-2125.html,,4,15,1,,1,2
www.wasay.net/p/news.html?doc=201311050830PR_NEWS_USPR_____PH09892&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201403180830PR_NEWS_USPR_____PH85095&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201303140835PR_NEWS_USPR_____PH77061&dir=0,,1,15,1,,1,2
www.wasay.net/AboutMe/tabid/36/Default.aspx,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201312100830PR_NEWS_USPR_____PH30247&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201302110842PR_NEWS_USPR_____CG57747&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201211151422PR_NEWS_USPR_____PH14602&dir=0,,35,15,1,,1,2
www.wasay.net/p/news.html?doc=201401070830PR_NEWS_USPR_____PH41356&dir=0,,1,15,1,,1,2
www.wasay.net/p/news.html?doc=201603012122PR_NEWS_USPR_____LA36779&dir=0,,1,15,1,,1,2
www.wasay.net/search/label/biosphere,,0,12,0,,1,2
www.wasay.net/2011_12_01_archive.html,,0,12,0,,1,2
www.wasay.net/2006_05_01_archive.html,,0,12,0,,1,2
www.wasay.net/p/news.html?doc=201511100840PR_NEWS_USPR_____PH52599&dir=0,,0,12,0,,1,2
www.wasay.net/2012_06_01_archive.html,,0,12,0,,1,2
www.wasay.net/2012_02_01_archive.html,,0,12,0,,1,2
www.wasay.net/p/news.html?doc=201511180750PR_NEWS_USPR_____PH61284&dir=0,,0,12,0,,1,2
www.wasay.net/search/label/michigan,,0,12,0,,1,2
www.wasay.net/2011_03_01_archive.html,,0,12,0,,1,2
www.wasay.net/feeds/3485766737649091601/comments/default,,0,12,0,,1,2
www.wasay.net/2012_10_01_archive.html,,0,12,0,,1,2
www.wasay.net/2011/08/welcome-to-my-blog-at-syed-wasay.html,,0,12,0,,1,2
www.wasay.net/2010/12/bacteria-stir-debate-about-biosphere.html,,0,12,0,,1,2
www.wasay.net/2009_05_01_archive.html,,0,12,0,,1,2
www.wasay.net/p/news.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2006-01-01T00:00:00-05:00&updated-max=2007-01-01T00:00:00-05:00&max-results=4,,0,12,0,,1,2
www.wasay.net/search/label/Social%20Media,,0,12,0,,1,2
www.wasay.net/2014_10_01_archive.html,,0,12,0,,1,2
www.wasay.net/search/label/shadow,,0,12,0,,1,2
www.wasay.net/p/news.html?doc=201403170830PR_NEWS_USPR_____PH83723&dir=0,,0,12,0,,1,2
www.wasay.net/2009/12/michigan-unclaimed-property-search.html,,0,12,0,,1,2
www.wasay.net/2009_03_01_archive.html,,0,12,0,,1,2
www.wasay.net/2014_02_01_archive.html,,0,12,0,,1,2
www.wasay.net/2010_07_01_archive.html,,0,12,0,,1,2
www.wasay.net/2005_04_01_archive.html,,0,12,0,,1,2
www.wasay.net/2010/01/oprahcomomagazine.html,,0,12,0,,1,2
www.wasay.net/2011/08/social-media-and-its-drawbacks.html,,0,12,0,,1,2
www.wasay.net/2010/02/congressman-rep-john-murtha-large.html,,0,12,0,,1,2
www.wasay.net/2010/06/rent-white-guy-magazine-atlantic.html,,0,12,0,,1,2
www.wasay.net/2012_01_01_archive.html,,0,12,0,,1,2
www.wasay.net/p/about-me_29.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2012-01-01T00:00:00-05:00&updated-max=2013-01-01T00:00:00-05:00&max-results=14,,0,12,0,,1,2
www.wasay.net/search/label/macbook,,0,12,0,,1,2
www.wasay.net/2010_02_01_archive.html,,0,12,0,,1,2
www.wasay.net/2009_12_01_archive.html,,0,12,0,,1,2
www.wasay.net/2010/06/adobe-forums-verity-spider-bad-keys.html,,0,12,0,,1,2
www.wasay.net/search/label/warning,,0,12,0,,1,2
www.wasay.net/2014/10/microsoft-band-and-windows-phone-8.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2005-01-01T00:00:00-05:00&updated-max=2006-01-01T00:00:00-05:00&max-results=3,,0,12,0,,1,2
www.wasay.net/search/label/oprah,,0,12,0,,1,2
www.wasay.net/search/label/omagazine,,0,12,0,,1,2
www.wasay.net/2014_06_01_archive.html,,0,12,0,,1,2
www.wasay.net/feeds/posts/default,,0,12,0,,1,2
www.wasay.net/2009/03/welcome-back-kotter-on-you-tube.html,,0,12,0,,1,2
www.wasay.net/2010_06_01_archive.html,,0,12,0,,1,2
www.wasay.net/search?updated-max=2006-02-17T13:47:00-05:00&max-results=7,,0,12,0,,1,2
www.wasay.net/search/label/money,,0,12,0,,1,2
www.wasay.net/2010/07/got-apple-macbook-at-office-today.html,,0,12,0,,1,2
www.wasay.net/feeds/4400378697092083038/comments/default,,0,12,0,,1,2
www.wasay.net/search/label/flip4mac,,0,12,0,,1,2
www.wasay.net/search?updated-min=2009-01-01T00:00:00-05:00&updated-max=2010-01-01T00:00:00-05:00&max-results=6,,0,12,0,,1,2
www.wasay.net/feeds/posts/default?alt=rss,,0,12,0,,1,2
www.wasay.net/search?updated-max=2013-07-02T16:14:00-04:00&max-results=7,,0,12,0,,1,2
www.wasay.net/2006/02/what-day-can-make-difference.html,,0,12,0,,1,2
www.wasay.net/2008_05_01_archive.html,,0,12,0,,1,2
www.wasay.net/search/label/muslims,,0,12,0,,1,2
www.wasay.net/2010_01_01_archive.html,,0,12,0,,1,2
www.wasay.net/2011/09/lost-thought.html,,0,12,0,,1,2
www.wasay.net/2008_11_01_archive.html,,0,12,0,,1,2
www.wasay.net/p/news.html?doc=201401210830PR_NEWS_USPR_____PH49444&dir=0,,0,12,0,,1,2
www.wasay.net/search?updated-max=2009-03-14T15:00:00-04:00&max-results=7,,0,12,0,,1,2
www.wasay.net/2011_08_01_archive.html,,0,12,0,,1,2
www.wasay.net/feeds/3768060330840014790/comments/default,,0,12,0,,1,2
www.wasay.net/2013_04_01_archive.html,,0,12,0,,1,2
www.wasay.net/feeds/3708027446041478638/comments/default,,0,12,0,,1,2
wasay.net/robots.txt,,0,12,0,,0,0
www.wasay.net/search/label/virus,,0,12,0,,1,2
www.wasay.net/2011_09_01_archive.html,,0,12,0,,1,2
www.wasay.net/2013_07_01_archive.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2008-01-01T00:00:00-05:00&updated-max=2009-01-01T00:00:00-05:00&max-results=7,,0,12,0,,1,2
www.wasay.net/p/contact-me_06.html,,0,12,0,,1,2
www.wasay.net/2011/08/how-to-write-great-blog-content-every.html,,0,12,0,,1,2
www.wasay.net/2008_10_01_archive.html,,0,12,0,,1,2
www.wasay.net/search/label/wmv,,0,12,0,,1,2
www.wasay.net/2006_02_01_archive.html,,0,12,0,,1,2
www.wasay.net/search/label/apple,,0,12,0,,1,2
www.wasay.net/2008_01_01_archive.html,,0,12,0,,1,2
www.wasay.net/feeds/3605008008509694315/comments/default,,0,12,0,,1,2
www.wasay.net/p/links-to-other-web-sites_29.html,,0,12,0,,1,2
www.wasay.net/2005_07_01_archive.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2011-01-01T00:00:00-05:00&updated-max=2012-01-01T00:00:00-05:00&max-results=7,,0,12,0,,1,2
www.wasay.net/2009_10_01_archive.html,,0,12,0,,1,2
www.wasay.net/search/label/property,,0,12,0,,1,2
www.wasay.net/2010/12/happy-holidays.html,,0,12,0,,1,2
www.wasay.net/2009/11/new-syndicated-feedburner-url.html,,0,12,0,,1,2
www.wasay.net/2010/12/did-amazon-survival-vindicated-cloud.html,,0,12,0,,1,2
www.wasay.net/search?updated-min=2014-01-01T00:00:00-05:00&updated-max=2015-01-01T00:00:00-05:00&max-results=3,,0,12,0,,1,2
www.wasay.net/2008_08_01_archive.html,,0,12,0,,1,2
www.wasay.net/search?updated-max=2008-11-05T11:47:00-05:00&max-results=7&reverse-paginate=true,,0,12,0,,1,2
www.wasay.net/2010_12_01_archive.html,,0,12,0,,1,2
www.wasay.net/2012_07_01_archive.html,,0,12,0,,1,2
